Index,Line_breaks,Indents,Bolded,Italicized,Underlined,"DR/CR, Entered Accounts",Calculated_Accounts,Inherited_Accounts,账本名称,Account_name,Formula,_{t1},_{t0},Commentary
SCF_OA_PPI_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCF_OA_PPI_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCF_OA_PPI_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCF_OA_OEP,1,1,0,0,0,0,1,0,用现金支付的经营成本,Operating expenses paid,,,,
SCF_OA_OEP_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCF_OA_OEP_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCF_OA_OEP_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCF_OA_OEP_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCF_OA,1,0,1,0,0,0,1,0,经营活动产生的现金流量净额,Net cash from operating activities,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SCF_FA,2,0,1,0,0,,,,筹资活动产生的现金流量,Cashflows from financing activities,,,,
,,,,,,,,,,,,,,
SCF_FA_SR,1,1,0,0,0,0,1,0,收取的认购资金现金,Cash Subscriptions received,,,,
SCF_FA_SR_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCF_FA_SR_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCF_FA_SR_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCF_FA_SR_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCF_FA_RP,1,1,0,0,0,0,1,0,支付的赎回资金现金,Cash Redemptions paid,,,,
SCF_FA_RP_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCF_FA_RP_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCF_FA_RP_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCF_FA_RP_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCF_FA_DPTS,1,1,0,0,0,0,1,0,支付股息的现金（针对股东）,Cash Dividends/Distributions paid to shareholders,,,,Connected to SCI_PFOA_FCD
SCF_FA_DPTS_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,Connected to SCI_PFOA_FCD_CAD
SCF_FA_DPTS_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,Connected to SCI_PFOA_FCD_CNY
SCF_FA_DPTS_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,Connected to SCI_PFOA_FCD_HKD
SCF_FA_DPTS_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,Connected to SCI_PFOA_FCD_USD
,,,,,,,,,,,,,,
SCF_FA,1,0,1,0,0,0,1,0,筹资活动产生的现金流量净额,Net cash from financing activities,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
